iter	Logloss
0	0.6768787944
1	0.6625370483
2	0.6505443726
3	0.6401670736
4	0.6304428101
5	0.6221036428
6	0.6148410695
7	0.6083106486
8	0.602411499
9	0.5970799611
10	0.5922642975
11	0.5876903432
12	0.5836093241
13	0.5799249471
14	0.576618515
15	0.5735492045
16	0.5708252157
17	0.5682608439
18	0.5658951314
19	0.563816391
20	0.5617699941
21	0.5599028015
22	0.5582561544
23	0.5566784668
24	0.5552224375
25	0.5538359019
26	0.5523458303
27	0.5510105845
28	0.5498833313
29	0.5487568258
30	0.5473368683
31	0.5458845622
32	0.544951767
33	0.5440123393
34	0.5431250203
35	0.5420310923
36	0.5412461497
37	0.5404692078
38	0.5397538045
39	0.5389953817
40	0.5383084259
41	0.5371505534
42	0.536449707
43	0.5358236898
44	0.5349799703
45	0.5343044891
46	0.5337896627
47	0.5326534526
48	0.5319776306
49	0.5314983622
50	0.5309298147
51	0.5300264079
52	0.5296713308
53	0.5288796132
54	0.5284386749
55	0.5277029215
56	0.527340449
57	0.526664566
58	0.5261787465
59	0.5257137044
60	0.524886968
61	0.5243054047
62	0.5235927836
63	0.5228133545
64	0.5225493774
65	0.5219725494
66	0.521203186
67	0.5209743042
68	0.5207341461
69	0.5197784831
70	0.5196059875
71	0.519359731
72	0.5186909841
73	0.5184470113
74	0.5182262014
75	0.5180211741
76	0.5178420868
77	0.5176400604
78	0.5173835246
79	0.5172199148
80	0.5170060425
81	0.5164993998
82	0.5163157603
83	0.5159434458
84	0.5153801778
85	0.5152204437
86	0.5148448079
87	0.5139539693
88	0.5138366597
89	0.5135580648
90	0.5131650848
91	0.5130299479
92	0.5129290263
93	0.5123720245
94	0.5122592265
95	0.5115598043
96	0.5112234955
97	0.5111101939
98	0.5108739319
99	0.5107584534
100	0.5106407216
101	0.5105435181
102	0.5104486949
103	0.510195577
104	0.5099214935
105	0.509647522
106	0.5089665578
107	0.5081905212
108	0.5076516418
109	0.5071165619
110	0.5069242045
111	0.5067802684
112	0.5066219686
113	0.5062417755
114	0.5059583232
115	0.5051510976
116	0.5048803151
117	0.504630722
118	0.5039478353
119	0.503637085
120	0.5035500743
121	0.5034653015
122	0.5033888957
123	0.5032690074
124	0.5031564229
125	0.5027729645
126	0.5026726278
127	0.5025794678
128	0.5022598216
129	0.5020727336
130	0.5015501658
131	0.5011701406
132	0.5008795064
133	0.5004982452
134	0.4999659373
135	0.4991733144
136	0.4990681
137	0.4988900909
138	0.4983162435
139	0.4982602336
140	0.4980099233
141	0.4977724813
142	0.4976983795
143	0.4974988251
144	0.497340093
145	0.4971384379
146	0.4966605174
147	0.4965498505
148	0.4963572032
149	0.4956245575
150	0.4952362315
151	0.4949111328
152	0.4947657776
153	0.4946932017
154	0.494578064
155	0.4943685455
