iter	Passed	Remaining
0	58	58356
1	69	34928
2	79	26443
3	89	22389
4	96	19123
5	101	16833
6	107	15190
7	112	13952
8	117	12971
9	123	12209
10	128	11558
11	134	11046
12	139	10619
13	145	10243
14	150	9893
15	155	9574
16	161	9324
17	166	9105
18	172	8899
19	178	8723
20	183	8548
21	188	8389
22	196	8329
23	202	8243
24	209	8175
25	218	8168
26	223	8052
27	228	7947
28	234	7851
29	240	7769
30	246	7710
31	253	7673
32	260	7638
33	267	7613
34	275	7585
35	281	7529
36	287	7486
37	295	7473
38	301	7438
39	307	7385
40	314	7348
41	320	7301
42	325	7248
43	331	7196
44	336	7146
45	342	7098
46	347	7048
47	353	7005
48	358	6960
49	364	6919
50	369	6879
51	375	6842
52	380	6793
53	385	6755
54	391	6721
55	397	6707
56	406	6717
57	414	6729
58	420	6712
59	426	6681
60	432	6653
61	437	6624
62	443	6596
63	448	6565
64	453	6529
65	459	6501
66	465	6475
67	470	6447
68	475	6415
69	480	6387
70	485	6358
71	491	6337
72	497	6312
73	502	6290
74	508	6266
75	513	6244
76	519	6222
77	524	6200
78	530	6184
79	535	6158
80	541	6138
81	547	6130
82	553	6112
83	558	6093
84	564	6074
85	569	6057
86	575	6040
87	581	6021
88	586	6002
89	591	5984
90	598	5982
91	605	5976
92	612	5973
93	622	6000
94	628	5988
95	634	5975
96	640	5958
97	645	5936
98	650	5921
99	655	5901
100	661	5886
101	666	5870
102	672	5857
103	678	5844
104	684	5830
105	689	5817
106	695	5803
107	701	5790
108	707	5782
109	717	5801
110	724	5800
111	733	5816
112	743	5839
113	759	5900
114	768	5917
115	784	5980
116	804	6068
117	820	6134
118	830	6151
119	842	6180
120	853	6196
121	860	6194
122	868	6196
123	874	6180
124	880	6163
125	885	6145
126	891	6128
127	897	6112
128	902	6095
129	908	6079
130	914	6063
131	919	6048
132	925	6031
133	931	6018
134	936	6003
135	942	5989
136	948	5974
137	954	5960
138	959	5944
139	965	5930
140	971	5915
141	976	5902
142	982	5888
143	988	5873
144	993	5858
145	999	5843
146	1005	5837
147	1013	5832
148	1020	5830
149	1027	5824
150	1033	5811
151	1039	5798
152	1045	5785
153	1050	5772
154	1056	5759
155	1062	5749
156	1068	5736
157	1074	5727
158	1080	5715
159	1086	5703
160	1091	5690
161	1097	5676
162	1103	5664
163	1108	5651
164	1114	5639
165	1119	5626
166	1125	5613
167	1131	5602
168	1136	5589
169	1142	5577
170	1147	5565
171	1153	5552
172	1158	5540
173	1164	5526
174	1169	5513
175	1175	5502
176	1181	5493
177	1186	5481
178	1192	5469
179	1197	5456
180	1203	5447
181	1210	5440
182	1216	5430
183	1221	5418
184	1227	5406
185	1232	5394
186	1238	5382
187	1243	5371
188	1249	5360
189	1254	5348
190	1260	5338
191	1265	5327
192	1271	5315
193	1276	5304
194	1282	5294
195	1287	5282
196	1293	5272
197	1299	5262
198	1304	5252
199	1310	5241
200	1315	5230
201	1321	5219
202	1326	5209
203	1332	5198
204	1337	5188
205	1343	5177
206	1348	5166
207	1354	5157
208	1359	5146
209	1365	5135
210	1370	5124
211	1376	5114
212	1381	5104
213	1386	5093
214	1392	5083
215	1397	5073
216	1404	5066
217	1410	5061
218	1425	5083
219	1439	5104
220	1448	5105
221	1455	5101
222	1461	5091
223	1466	5081
224	1472	5072
225	1478	5062
226	1483	5052
227	1489	5042
228	1494	5032
229	1500	5023
230	1505	5013
231	1511	5003
232	1516	4993
233	1522	4982
234	1527	4973
235	1533	4963
236	1538	4953
237	1544	4943
238	1549	4933
239	1555	4924
240	1560	4914
241	1565	4905
242	1571	4896
243	1577	4886
244	1582	4876
245	1587	4866
246	1593	4856
247	1598	4847
248	1605	4842
249	1611	4835
250	1617	4826
251	1623	4817
252	1628	4809
253	1634	4800
254	1639	4790
255	1645	4782
256	1650	4772
257	1656	4763
258	1662	4755
259	1667	4746
260	1672	4736
261	1678	4727
262	1683	4718
263	1689	4708
264	1694	4699
265	1699	4690
266	1705	4681
267	1710	4672
268	1716	4663
269	1721	4655
270	1727	4646
271	1732	4637
272	1738	4628
273	1743	4620
274	1749	4613
275	1755	4605
276	1761	4596
277	1766	4588
278	1772	4579
279	1777	4570
280	1783	4562
281	1788	4554
282	1794	4546
283	1799	4537
284	1806	4531
285	1813	4526
286	1818	4518
287	1824	4511
288	1830	4502
289	1835	4494
290	1840	4485
291	1846	4477
292	1852	4469
293	1857	4461
294	1863	4453
295	1869	4445
296	1874	4437
297	1880	4428
298	1885	4420
299	1890	4411
300	1896	4403
301	1901	4394
302	1907	4386
303	1912	4379
304	1917	4370
305	1923	4362
306	1928	4353
307	1934	4345
308	1939	4337
309	1944	4329
310	1950	4321
311	1955	4312
312	1961	4304
313	1966	4296
314	1972	4288
315	1977	4280
316	1983	4273
317	1989	4265
318	1994	4257
319	1999	4249
320	2007	4245
321	2013	4240
322	2019	4233
323	2025	4225
324	2030	4217
325	2036	4209
326	2042	4202
327	2047	4195
328	2053	4188
329	2060	4182
330	2065	4174
331	2071	4167
332	2076	4159
333	2082	4151
334	2087	4144
335	2093	4136
336	2098	4128
337	2104	4121
338	2109	4113
339	2115	4106
340	2120	4098
341	2125	4090
342	2131	4082
343	2136	4074
344	2142	4067
345	2147	4059
346	2153	4051
347	2159	4045
348	2164	4037
349	2170	4030
350	2175	4022
351	2180	4014
352	2186	4007
353	2192	4000
354	2197	3993
355	2203	3986
356	2210	3981
357	2216	3975
358	2222	3968
359	2228	3961
360	2233	3954
361	2239	3946
362	2244	3939
363	2251	3934
364	2257	3927
365	2262	3919
366	2268	3912
367	2274	3905
368	2279	3897
369	2284	3890
370	2290	3883
371	2295	3875
372	2301	3868
373	2306	3860
374	2312	3854
375	2317	3846
376	2323	3839
377	2328	3831
378	2334	3824
379	2339	3817
380	2344	3809
381	2350	3802
382	2355	3794
383	2361	3788
384	2366	3780
385	2372	3773
386	2377	3765
387	2383	3759
388	2388	3752
389	2394	3744
390	2399	3737
391	2407	3733
392	2413	3727
393	2419	3721
394	2424	3714
395	2430	3707
396	2435	3699
397	2441	3692
398	2446	3685
399	2452	3678
400	2457	3671
401	2462	3663
402	2468	3656
403	2473	3649
404	2479	3642
405	2484	3634
406	2489	3627
407	2495	3620
408	2501	3614
409	2506	3607
410	2512	3600
411	2517	3593
412	2522	3585
413	2528	3578
414	2533	3571
415	2539	3565
416	2544	3558
417	2550	3551
418	2556	3544
419	2561	3537
420	2567	3530
421	2572	3523
422	2578	3516
423	2583	3509
424	2589	3502
425	2594	3495
426	2599	3488
427	2606	3483
428	2613	3478
429	2619	3472
430	2625	3465
431	2630	3459
432	2636	3452
433	2641	3445
434	2647	3438
435	2652	3431
436	2658	3424
437	2663	3417
438	2669	3411
439	2674	3404
440	2680	3397
441	2685	3390
442	2691	3383
443	2696	3376
444	2701	3369
445	2707	3362
446	2712	3356
447	2717	3348
448	2723	3341
449	2729	3335
450	2734	3329
